unit,signal,type,group,pin
0,GND,P,,24
0,VCC,P,,8
1,A0,I,L0,20
1,A1,I,L0,19
1,A2,I,L0,18
1,A3,I,L0,17
1,A4,I,L0,16
1,A5,I,L0,15
1,A6,I,L0,14
1,A7,I,L0,13
1,A8,I,L0,3
1,A9,I,L0,2
1,A10,I,L0,31
1,A11,I,L0,1
1,A12,I,L0,12
1,A13,I,L0,4
1,A14,I,L0,11
1,A15,I,L0,7
1,CE1,NI,L1,30
1,CE2,I,L1,6
1,OE,NI,L1,32
1,WE,NI,L1,5
1,D0,OZ,R0,21
1,D1,OZ,R0,22
1,D2,OZ,R0,23
1,D3,OZ,R0,25
1,D4,OZ,R0,26
1,D5,OZ,R0,27
1,D6,OZ,R0,28
1,D7,OZ,R0,29
