unit,signal,type,group,pin
0,GND,P,,16
0,VCC,P,,32
1,A0,I,L0,12
1,A1,I,L0,11
1,A2,I,L0,10
1,A3,I,L0,9
1,A4,I,L0,8
1,A5,I,L0,7
1,A6,I,L0,6
1,A7,I,L0,5
1,A8,I,L0,27
1,A9,I,L0,26
1,A10,I,L0,23
1,A11,I,L0,25
1,A12,I,L0,4
1,A13,I,L0,28
1,A14,I,L0,3
1,A15,I,L0,31
1,A16,I,L0,2
1,A17,I,L0,30
1,A18,I,L0,1
1,CE,NI,L1,22
1,OE,NI,L1,24
1,WE,NI,L1,29
1,D0,OZ,R0,13
1,D1,OZ,R0,14
1,D2,OZ,R0,15
1,D3,OZ,R0,17
1,D4,OZ,R0,18
1,D5,OZ,R0,19
1,D6,OZ,R0,20
1,D7,OZ,R0,21
