unit,signal,type,group,pin
0,GND,P,,14
0,VCC,P,,28
1,A0,I,L0,10
1,A1,I,L0,9
1,A2,I,L0,8
1,A3,I,L0,7
1,A4,I,L0,6
1,A5,I,L0,5
1,A6,I,L0,4
1,A7,I,L0,3
1,A8,I,L0,25
1,A9,I,L0,24
1,A10,I,L0,21
1,A11,I,L0,23
1,A12,I,L0,2
1,A13,I,L0,26
1,A14,I,L0,1
1,CS,NI,L1,20
1,OE,NI,L1,22
1,WE,NI,L1,27
1,D0,OZ,R0,11
1,D1,OZ,R0,12
1,D2,OZ,R0,13
1,D3,OZ,R0,15
1,D4,OZ,R0,16
1,D5,OZ,R0,17
1,D6,OZ,R0,18
1,D7,OZ,R0,19
