unit,signal,type,group,pin
0,GND1,P,,D1
0,GND2,P,,E6
0,VCC1,P,,D6
0,VCC2,P,,E1
1,A0,I,L0,A1
1,A1,I,L0,A2
1,A2,I,L0,B2
1,A3,I,L0,A4
1,A4,I,L0,B4
1,A5,I,L0,C4
1,A6,I,L0,A5
1,A7,I,L0,B5
1,A8,I,L0,A6
1,A9,I,L0,H1
1,A10,I,L0,H2
1,A11,I,L0,H3
1,A12,I,L0,H4
1,A13,I,L0,H5
1,A14,I,L0,H6
1,A15,I,L0,G5
1,A16,I,L0,G4
1,CS,NI,L1,G3
1,OE,NI,L1,G2
1,WE,NI,L1,B3
1,D0,OZ,R0,B6
1,D1,OZ,R0,C6
1,D2,OZ,R0,F6
1,D3,OZ,R0,G6
1,D4,OZ,R0,B1
1,D5,OZ,R0,C1
1,D6,OZ,R0,F1
1,D7,OZ,R0,G1
