unit,signal,type,group,A
0,GND,P,,12
0,VCC,P,,24
1,A0,I,L0,8
1,A1,I,L0,7
1,A2,I,L0,6
1,A3,I,L0,5
1,A4,I,L0,4
1,A5,I,L0,3
1,A6,I,L0,2
1,A7,I,L0,1
1,A8,I,L0,23
1,A9,I,L0,22
1,A10,I,L0,19
1,CS,NI,L1,18
1,OE,NI,L1,20
1,WE,NI,L1,21
1,D0,OZ,R0,9
1,D1,OZ,R0,10
1,D2,OZ,R0,11
1,D3,OZ,R0,13
1,D4,OZ,R0,14
1,D5,OZ,R0,15
1,D6,OZ,R0,16
1,D7,OZ,R0,17
