unit,signal,type,group,DIP20,SO20
0,GND,P,,10,10
0,VCC,P,,20,20
1,D0,I,L0,2,2
1,D1,I,L0,4,4
1,D2,I,L0,6,6
1,D3,I,L0,8,8
1,OE,NI,L1,1,1
1,Q0,OZ,R0,18,18
1,Q1,OZ,R0,16,16
1,Q2,OZ,R0,14,14
1,Q3,OZ,R0,12,12
2,D0,I,L0,11,11
2,D1,I,L0,13,13
2,D2,I,L0,15,15
2,D3,I,L0,17,17
2,OE,NI,L1,19,19
2,Q0,OZ,R0,9,9
2,Q1,OZ,R0,7,7
2,Q2,OZ,R0,5,5
2,Q3,OZ,R0,3,3
