unit,signal,type,group,DIP20,SO20
0,GND,P,,10,10
0,VCC,P,,20,20
1,A0,IOZ,L0,2,2
1,A1,IOZ,L0,3,3
1,A2,IOZ,L0,4,4
1,A3,IOZ,L0,5,5
1,A4,IOZ,L0,6,6
1,A5,IOZ,L0,7,7
1,A6,IOZ,L0,8,8
1,A7,IOZ,L0,9,9
1,DIR,I,L1,1,1
1,OE,NI,L1,19,19
1,B0,IOZ,R0,18,18
1,B1,IOZ,R0,17,17
1,B2,IOZ,R0,16,16
1,B3,IOZ,R0,15,15
1,B4,IOZ,R0,14,14
1,B5,IOZ,R0,13,13
1,B6,IOZ,R0,12,12
1,B7,IOZ,R0,11,11
