unit,signal,type,group,DIP28
1,INIT,NI,L0,20
1,CSS,NI,L0,7
1,CSA,NI,L0,9
1,CSB,NI,L0,8
1,DIN,NI,L0,11
1,DOUT,NI,L0,10
1,IAKI,NI,L0,15
1,A2,NI,L1,1
1,A3,NI,L1,2
1,A4,NI,L1,3
1,A5,NI,L1,4
1,A6,NI,L1,5
1,A7,NI,L1,6
1,INTA,NC,L2,12
1,INTB,NC,L2,13
1,AD1,NIOZ,R0,21
1,AD2,NIOZ,R0,22
1,AD3,NIOZ,R0,23
1,AD4,NIOZ,R0,24
1,AD5,NIOZ,R0,25
1,AD6,NIOZ,R0,26
1,AD7,NIOZ,R0,27
1,VIRQ,NOU,R1,17
1,RPLY,NOZ,R1,19
1,IAKO,NO,R1,16
1,VECB,NO,R2,18
0,GND,P,,14
0,VCC,P,,28
