unit,signal,type,group,QIP42
1,A4,NI,L0,33
1,A5,NI,L0,34
1,A6,NI,L0,35
1,A7,NI,L0,36
1,A8,NI,L0,37
1,A9,NI,L0,38
1,A10,NI,L0,39
1,A11,NI,L0,40
1,A12,NI,L0,41
1,AD0,NI,L1,13
1,AD1,NI,L1,12
1,AD2,NI,L1,11
1,AD3,NI,L1,10
1,AD4,NI,L1,9
1,AD5,NI,L1,8
1,AD6,NI,L1,7
1,AD7,NI,L1,6
1,AD8,NI,L1,5
1,AD9,NI,L1,4
1,AD10,NI,L1,3
1,AD11,NI,L1,2
1,AD12,NI,L1,1
1,BS7,NI,L2,14
1,SYNC,NI,L2,15
1,DIN,NI,L2,17
1,DOUT,NI,L2,18
1,WTBT,NI,L2,16
1,RDY,NI,L3,20
1,RPLY,NOZ,R0,19
1,CS0,NO,R1,32
1,CS1,NO,R1,31
1,CS2,NO,R1,30
1,CS3,NO,R1,29
1,CS4,NO,R1,28
1,CS5,NO,R1,27
1,CS6,NO,R1,26
1,CS7,NO,R1,25
1,OE,R2,22
1,WE0,R2,23
1,WE1,R2,24
0,GND,P,,21
0,VCC,P,,42
